"TOA5","10029","CR3000","10029","CR3000.Std.27.04","CPU:Final-24-06-2017.CR3","40325","Resumen"
"TIMESTAMP","RECORD","Strain(1)","Strain(2)","Strain(3)","Strain(4)","Strain(5)","Strain(6)","Strain_2(1)","Strain_2(2)"
"TS","RN","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-04-28 12:18:59",0,402.35,313.3764,1192.849,663.3394,271.8815,659.1273,988.5593,533.9999
"2017-04-28 12:19:00.5",1,403.3286,313.4946,1192.719,663.256,271.7179,659.1437,988.36,534.0488
"2017-04-28 12:19:02",2,403.6977,313.427,1192.54,663.2894,271.827,659.2905,988.4763,534.0488
"2017-04-28 12:19:03.5",3,403.9383,313.3427,1192.572,663.306,271.7179,659.2252,988.4431,534.0324
"2017-04-28 12:19:05",4,403.072,313.427,1192.8,663.3727,271.7361,659.1763,988.36,534.0324
"2017-04-28 12:19:06.5",5,403.0238,313.3933,1192.491,663.306,271.7179,659.2089,988.3932,534.065
"2017-04-28 12:19:08",6,403.6816,313.4777,1192.54,663.0895,271.7361,658.6378,988.3434,534.065
"2017-04-28 12:19:09.5",7,401.0345,313.427,1192.751,663.1394,271.7542,658.6868,988.3766,534.114
"2017-04-28 12:19:11",8,403.7458,312.887,1192.393,663.056,271.6452,658.7357,988.2604,534.1628
"2017-04-28 12:19:12.5",9,403.2485,313.6296,1193.012,663.2728,272.245,658.7031,989.0077,534.0813
"2017-04-28 12:19:14",10,403.5052,315.0136,1193.94,663.7227,273.4082,658.7031,989.8217,534.0161
"2017-04-28 12:19:15.5",11,403.3768,315.3005,1193.777,663.8727,273.3537,658.7031,989.9213,534.0976
"2017-04-28 12:19:17",12,403.3607,315.2162,1194.119,663.8893,273.6263,658.752,990.0043,534.0813
"2017-04-28 12:19:18.5",13,403.441,315.4693,1194.266,664.0726,274.1534,658.7031,990.5691,534.0813
"2017-04-28 12:19:20",14,403.457,316.2457,1194.722,664.2892,274.6078,658.8173,991.084,534.1465
"2017-04-28 12:19:21.5",15,403.3607,316.6677,1194.966,664.4726,275.1348,658.8173,991.4327,534.1628
"2017-04-28 12:19:23",16,403.4089,316.6508,1194.803,664.6393,275.0439,658.7357,991.2501,534.0813
